physical address;number of rooms;area of apartment;number of floors;apartment floor;price;link;repair;bathroom;view from the windows;terrace;year of construction;elevator;type of house;parking
Москва, ул. Вавилова, 27;Количество комнат : 2;Общая площадь : 68.7 м²;19;9;9141136000000;https://www.avito.ru/moskva/kvartiry/2-k._kvartira_687_m_919_et._4226825519?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : дизайнерский;Санузел : совмещенный;;;Год постройки : 2019;Пассажирский лифт : 1;Тип дома : монолитный;Парковка : подземная
Москва, пр. Завода Серп и Молот, 5с2;Количество комнат : студия;Общая площадь : 11.4 м²;3;3;1082448000;https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_114_m_33_et._4573530146?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : косметический;Санузел : совмещенный;Окна : во двор;;Год постройки : 1914;Пассажирский лифт : нет;Тип дома : кирпичный;Парковка : открытая во дворе
Москва, ул. Янковского, 1к1;Количество комнат : 3;Общая площадь : 121 м²;25;13;9141193000000;https://www.avito.ru/moskva/kvartiry/3-k._kvartira_121_m_1325_et._5026286927?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : дизайнерский;Санузел : совмещенный, раздельный;Окна : во двор, на улицу, на солнечную сторону;;;Пассажирский лифт : 2;Тип дома : монолитный;Парковка : подземная
Москва, Подольская ул., 13;Количество комнат : 3;Общая площадь : 61 м²;9;7;1512900000;https://www.avito.ru/moskva/kvartiry/3-k._kvartira_61_m_79_et._4298618881?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : косметический;Санузел : раздельный;Окна : во двор;;Год постройки : 1980;Пассажирский лифт : 1;Тип дома : панельный;Парковка : открытая во дворе
Москва, пр-т Генерала Дорохова, 39к1Г;Количество комнат : 3;Общая площадь : 100 м²;13;8;9141166000000;https://www.avito.ru/moskva/kvartiry/3-k._kvartira_100_m_813_et._4545764878?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : требует ремонта;Санузел : совмещенный, раздельный;Окна : во двор;Балкон или лоджия : балкон;;;Тип дома : монолитный;
Москва, Кутузовский пр-т, 25;Количество комнат : 3;Общая площадь : 60.4 м²;12;7;116196437500000;https://www.avito.ru/moskva/kvartiry/3-k._kvartira_604_m_712_et._4417332190?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : евро;Санузел : раздельный;Окна : на улицу, на солнечную сторону;;Год постройки : 1952;Пассажирский лифт : 1;Тип дома : кирпичный;Парковка : за шлагбаумом во дворе
Москва, Давыдковская ул., 3;Количество комнат : 3;Общая площадь : 121.1 м²;43;26;9141168700000;https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1211_m_2643_et._4323089754?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : дизайнерский;Санузел : совмещенный;Окна : во двор, на улицу, на солнечную сторону;;Год постройки : 2004;Пассажирский лифт : 1;Тип дома : монолитно-кирпичный;Парковка : подземная
Москва, Курганская ул., 6;Количество комнат : 1;Общая площадь : 38.8 м²;14;1;210550000;https://www.avito.ru/moskva/kvartiry/1-k._kvartira_388_m_114_et._4511618614?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : евро;Санузел : раздельный;Окна : во двор;;Год постройки : 1990;Пассажирский лифт : 2;Тип дома : панельный;Парковка : открытая во дворе
Москва, Старопетровский пр., 12Ак1;Количество комнат : 2;Общая площадь : 58 м²;14;4;1421000000;https://www.avito.ru/moskva/kvartiry/2-k._kvartira_58_m_414_et._2171572536?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : косметический;Санузел : раздельный;Окна : во двор;Балкон или лоджия : лоджия;Год постройки : 2006;Пассажирский лифт : 1;Тип дома : панельный;Парковка : открытая во дворе
Москва, Рабочая ул., 16;Количество комнат : 2;Общая площадь : 60.7 м²;19;2;9141122500000;https://www.avito.ru/moskva/kvartiry/2-k._kvartira_607_m_219_et._4327654144?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;Ремонт : косметический;Санузел : раздельный;Окна : во двор, на улицу;Балкон или лоджия : балкон;;Пассажирский лифт : 2;Тип дома : монолитный;
3-й Хорошёвский проезд, д. 3А;Количество комнат : 3;Общая площадь : 69.8 м²;57;28;755480530;https://www.avito.ru/moskva/kvartiry/3-k._kvartira_698_m_2857_et._4623595078?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;;;;;;;Тип дома : монолитно-кирпичный;Парковка : подземная, открытая во дворе
ш. Дмитровское, вл. 87, стр. F;Количество комнат : студия;Общая площадь : 24.9 м²;21;7;711447884;https://www.avito.ru/moskva/kvartiry/kvartira-studiya_249_m_721_et._4438260214?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;;;;;;Пассажирский лифт : 1;Тип дома : монолитно-кирпичный;Парковка : подземная
д. Тарычево, ул. Фруктовые Сады, стр. 10;Количество комнат : студия;Общая площадь : 24.8 м²;24;4;71016102660;https://www.avito.ru/moskva/kvartiry/kvartira-studiya_248_m_424_et._5026143461?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA;;Санузел : совмещенный;Окна : на улицу;;;;Тип дома : панельный;
